HomeTeam,AwayTeam,Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
54,47,10/08/2018,2,1,H,1,0,H,8,13,6,4,11,8,2,5,2,1,0,0
11,21,11/08/2018,2,0,H,1,0,H,12,10,4,1,11,9,7,4,1,1,0,0
39,31,11/08/2018,0,2,A,0,1,A,15,10,6,9,9,11,5,5,1,2,0,0
43,24,11/08/2018,0,3,A,0,2,A,6,13,1,4,9,8,2,5,2,1,0,0
60,88,11/08/2018,1,2,A,1,2,A,15,15,2,5,11,12,3,5,2,2,0,0
91,14,11/08/2018,2,0,H,1,0,H,19,6,5,0,10,16,8,2,2,2,0,0
95,35,11/08/2018,2,2,D,1,1,D,11,6,4,5,8,7,3,6,0,1,0,1
3,53,12/08/2018,0,2,A,0,1,A,9,17,3,8,11,14,2,9,2,2,0,0
50,93,12/08/2018,4,0,H,2,0,H,18,5,8,2,14,9,5,4,1,2,0,0
81,17,12/08/2018,0,0,D,0,0,D,18,16,3,6,10,9,8,5,0,1,0,0
21,60,18/08/2018,0,0,D,0,0,D,12,12,1,6,14,16,5,5,2,2,0,1
24,3,18/08/2018,3,2,H,2,2,D,24,15,11,6,12,9,5,1,0,2,0,0
35,81,18/08/2018,2,1,H,2,0,H,13,15,7,4,8,20,2,5,0,5,0,0
47,95,18/08/2018,2,0,H,2,0,H,6,11,2,3,10,8,1,9,2,1,1,0
88,39,18/08/2018,3,1,H,1,0,H,25,10,11,3,9,5,5,2,0,0,0,0
93,11,18/08/2018,1,2,A,1,0,H,11,12,5,5,14,10,6,4,6,2,0,0
14,54,19/08/2018,3,2,H,3,1,H,6,9,3,3,16,13,3,5,1,1,0,0
17,91,19/08/2018,1,3,A,1,1,D,8,9,3,6,8,19,5,2,1,2,0,0
53,43,19/08/2018,6,1,H,3,1,H,32,5,14,1,9,4,10,3,0,2,0,0
31,50,20/08/2018,0,2,A,0,1,A,8,16,2,6,6,13,6,7,1,1,1,0
3,93,25/08/2018,3,1,H,1,1,D,17,13,10,5,16,13,10,2,1,3,0,0
11,35,25/08/2018,2,2,D,0,0,D,17,11,5,3,12,10,6,2,0,3,1,1
43,21,25/08/2018,0,0,D,0,0,D,5,14,1,4,8,10,7,7,0,1,1,0
50,14,25/08/2018,1,0,H,1,0,H,22,6,8,2,8,14,8,5,1,1,0,0
81,47,25/08/2018,1,2,A,0,0,D,11,8,5,5,13,11,10,3,1,1,1,0
95,53,25/08/2018,1,1,D,0,0,D,11,18,2,6,13,8,5,9,1,2,0,0
39,17,26/08/2018,4,2,H,3,2,H,25,12,12,2,11,8,6,4,2,1,0,0
60,24,26/08/2018,1,2,A,0,0,D,6,15,2,3,16,8,4,5,3,1,0,0
91,31,26/08/2018,2,1,H,0,0,D,13,9,5,3,14,11,6,3,4,2,0,0
54,88,27/08/2018,0,3,A,0,0,D,23,9,5,5,11,16,5,2,2,4,0,0
14,39,01/09/2018,2,2,D,0,1,A,15,10,5,5,12,14,7,1,3,3,0,0
24,11,01/09/2018,2,0,H,0,0,D,24,8,6,1,10,7,7,6,2,2,0,0
31,81,01/09/2018,0,2,A,0,0,D,20,19,6,6,11,12,7,4,1,1,0,0
35,43,01/09/2018,1,1,D,1,1,D,11,9,1,6,13,14,4,3,3,3,0,0
47,50,01/09/2018,1,2,A,0,2,A,12,10,5,4,9,12,4,4,3,2,0,0
53,60,01/09/2018,2,1,H,1,1,D,24,3,8,2,5,13,4,0,0,0,0,0
93,95,01/09/2018,0,1,A,0,0,D,13,15,3,6,10,11,4,4,2,1,0,0
17,54,02/09/2018,0,2,A,0,2,A,9,21,2,9,7,13,2,5,2,3,0,1
21,3,02/09/2018,2,3,A,1,1,D,14,17,3,11,12,14,3,9,3,4,0,0
91,88,02/09/2018,2,1,H,0,0,D,7,11,3,2,9,8,3,10,2,1,0,0
11,47,15/09/2018,4,2,H,3,0,H,10,14,5,8,13,15,4,6,3,2,0,1
24,21,15/09/2018,4,1,H,2,1,H,18,6,7,2,8,10,5,4,0,0,0,0
43,31,15/09/2018,0,1,A,0,1,A,15,7,2,2,11,17,5,3,1,2,0,0
53,39,15/09/2018,3,0,H,2,0,H,28,9,9,3,7,7,10,4,0,0,0,0
60,3,15/09/2018,1,2,A,0,0,D,4,12,2,2,13,11,10,4,0,0,0,0
88,50,15/09/2018,1,2,A,0,1,A,11,17,3,10,17,16,5,4,0,0,0,0
91,54,15/09/2018,1,2,A,0,2,A,14,9,5,6,9,11,6,8,2,1,0,1
35,93,16/09/2018,1,3,A,1,2,A,16,9,4,4,15,12,4,2,2,5,0,0
95,17,16/09/2018,1,0,H,0,0,D,30,7,7,2,10,9,8,2,2,4,0,0
81,14,17/09/2018,2,2,D,1,0,H,14,12,5,4,10,13,1,4,2,3,0,0
14,88,22/09/2018,1,2,A,0,1,A,8,16,4,7,15,9,5,7,2,1,0,0
17,11,22/09/2018,4,0,H,2,0,H,12,19,5,5,17,6,3,8,2,0,0,0
21,53,22/09/2018,0,5,A,0,3,A,2,21,2,10,6,4,1,9,1,1,0,0
31,60,22/09/2018,0,0,D,0,0,D,16,6,4,3,8,11,9,5,1,1,0,0
39,91,22/09/2018,1,1,D,0,1,A,15,11,3,6,11,9,8,8,2,1,0,0
47,43,22/09/2018,3,1,H,1,1,D,18,9,8,2,10,16,3,1,2,1,0,0
50,81,22/09/2018,3,0,H,3,0,H,12,7,4,1,7,10,5,4,0,2,0,0
54,95,22/09/2018,1,1,D,1,0,H,15,11,6,8,5,17,5,4,1,1,0,0
3,35,23/09/2018,2,0,H,0,0,D,9,9,5,6,17,12,5,9,2,1,0,0
93,24,23/09/2018,0,0,D,0,0,D,6,17,1,6,11,9,1,8,2,1,0,0
3,91,29/09/2018,2,0,H,0,0,D,9,13,2,4,11,17,6,6,2,2,0,0
24,50,29/09/2018,1,1,D,1,0,H,10,13,4,6,7,9,4,4,0,2,0,0
35,39,29/09/2018,3,0,H,0,0,D,19,6,6,0,13,13,12,1,0,3,0,0
43,88,29/09/2018,0,2,A,0,2,A,9,10,5,6,17,16,3,0,2,2,0,0
53,14,29/09/2018,2,0,H,1,0,H,28,4,8,1,4,10,10,3,0,3,0,0
60,47,29/09/2018,0,2,A,0,1,A,6,12,1,5,11,5,5,9,0,0,0,0
93,54,29/09/2018,3,1,H,2,0,H,8,9,3,4,12,12,4,9,0,1,0,0
95,81,29/09/2018,2,0,H,0,0,D,14,17,6,6,11,7,8,6,3,1,0,0
21,17,30/09/2018,1,2,A,0,0,D,19,3,5,2,11,15,10,2,1,3,0,0
11,31,01/10/2018,2,1,H,1,0,H,11,10,5,2,9,12,3,3,3,4,0,0
14,93,05/10/2018,1,0,H,1,0,H,9,17,4,4,12,8,2,9,3,2,0,0
17,43,06/10/2018,1,1,D,1,0,H,6,19,3,2,8,11,1,10,2,2,0,0
31,95,06/10/2018,0,1,A,0,0,D,11,7,4,2,11,13,6,3,3,4,0,0
47,35,06/10/2018,1,2,A,1,1,D,8,17,2,8,10,11,2,10,2,1,1,0
54,60,06/10/2018,3,2,H,0,2,A,18,13,10,8,16,8,10,6,2,2,0,0
88,21,06/10/2018,1,0,H,1,0,H,19,8,7,6,7,11,6,2,2,1,0,1
91,11,06/10/2018,0,4,A,0,3,A,14,10,2,7,11,9,10,7,3,1,1,0
39,3,07/10/2018,1,5,A,1,1,D,21,9,4,7,11,12,4,2,2,0,0,0
50,53,07/10/2018,0,0,D,0,0,D,7,6,2,2,10,10,2,6,1,3,0,0
81,24,07/10/2018,0,3,A,0,1,A,15,21,6,6,13,11,4,12,6,0,0,0
11,81,20/10/2018,0,0,D,0,0,D,10,8,2,4,10,14,6,4,1,2,0,0
21,39,20/10/2018,4,2,H,2,2,D,22,9,5,4,15,16,4,4,3,3,0,0
24,54,20/10/2018,2,2,D,1,0,H,21,7,6,4,9,17,5,3,2,5,0,0
43,50,20/10/2018,0,1,A,0,1,A,13,11,1,2,9,6,2,4,0,2,0,0
53,17,20/10/2018,5,0,H,1,0,H,24,5,10,0,11,5,10,1,2,2,0,0
60,14,20/10/2018,0,1,A,0,1,A,27,8,6,2,13,17,10,2,0,2,0,0
93,88,20/10/2018,0,1,A,0,1,A,13,10,4,2,8,10,10,6,3,0,0,0
95,91,20/10/2018,0,2,A,0,2,A,10,9,1,3,23,13,8,2,3,1,0,0
35,31,21/10/2018,2,0,H,0,0,D,20,7,4,3,13,17,10,5,2,1,0,0
3,47,22/10/2018,3,1,H,1,1,D,19,8,6,2,10,10,6,4,2,2,0,0
14,95,27/10/2018,1,0,H,0,0,D,2,25,1,7,11,8,1,10,3,0,0,0
39,11,27/10/2018,0,3,A,0,1,A,11,12,1,5,16,3,5,5,2,1,1,0
47,93,27/10/2018,1,1,D,0,1,A,21,11,7,3,17,5,8,0,1,1,0,1
50,21,27/10/2018,4,1,H,1,0,H,19,2,7,1,6,4,8,0,0,0,0,0
81,60,27/10/2018,0,0,D,0,0,D,22,6,4,0,9,12,7,2,0,1,0,0
91,43,27/10/2018,3,0,H,2,0,H,12,13,6,7,9,13,3,3,1,2,0,0
17,24,28/10/2018,0,4,A,0,1,A,7,24,1,8,14,10,4,4,4,2,0,0
31,3,28/10/2018,2,2,D,1,0,H,16,7,3,2,10,16,6,4,1,2,0,0
54,35,28/10/2018,2,1,H,1,0,H,14,14,10,6,15,12,8,4,2,1,0,0
88,53,29/10/2018,0,1,A,0,1,A,4,13,1,6,13,13,3,6,2,2,0,0
3,50,03/11/2018,1,1,D,0,0,D,12,13,4,4,7,7,5,8,1,1,0,0
11,54,03/11/2018,1,2,A,1,1,D,18,18,7,8,12,12,9,5,4,3,0,0
21,47,03/11/2018,0,1,A,0,0,D,11,13,2,5,13,12,6,12,2,2,0,0
35,14,03/11/2018,3,1,H,1,1,D,14,5,3,3,9,17,6,4,0,1,0,0
60,91,03/11/2018,1,0,H,0,0,D,10,16,2,1,12,11,8,9,1,5,0,0
93,17,03/11/2018,4,2,H,1,1,D,22,6,10,3,7,9,10,4,1,4,0,0
95,88,03/11/2018,2,3,A,0,2,A,16,10,7,8,11,8,5,1,1,2,0,0
24,31,04/11/2018,3,1,H,1,0,H,15,7,6,2,6,13,4,2,0,1,0,0
53,81,04/11/2018,6,1,H,4,1,H,18,12,8,6,14,9,4,4,1,1,0,0
43,39,05/11/2018,1,0,H,1,0,H,10,7,2,1,11,8,5,4,1,2,0,0
21,14,10/11/2018,2,1,H,1,1,D,20,7,6,3,7,21,4,1,2,1,0,1
31,88,10/11/2018,0,1,A,0,0,D,11,11,4,2,12,9,10,6,1,1,0,0
43,93,10/11/2018,1,1,D,1,0,H,15,12,7,5,9,8,5,6,1,1,0,0
47,17,10/11/2018,0,0,D,0,0,D,22,6,5,1,13,10,12,1,2,0,0,0
60,11,10/11/2018,2,1,H,2,1,H,18,14,6,4,9,11,7,10,2,1,0,0
81,91,10/11/2018,1,1,D,1,0,H,14,12,4,6,13,13,7,6,3,2,0,0
3,95,11/11/2018,1,1,D,0,1,A,10,12,3,5,9,16,11,2,2,2,0,0
24,35,11/11/2018,0,0,D,0,0,D,15,6,4,1,7,11,5,5,4,3,0,0
50,39,11/11/2018,2,0,H,1,0,H,20,8,7,3,11,9,6,3,1,1,0,0
53,54,11/11/2018,3,1,H,1,0,H,17,6,5,1,12,12,5,1,1,1,0,0
14,47,24/11/2018,1,1,D,1,0,H,14,8,3,3,10,7,6,1,3,1,0,1
35,21,24/11/2018,1,0,H,0,0,D,16,7,8,1,12,13,7,3,0,3,0,0
39,81,24/11/2018,3,2,H,2,1,H,10,19,5,8,10,6,2,5,2,3,0,0
54,31,24/11/2018,0,0,D,0,0,D,12,13,5,2,13,12,10,3,1,2,0,0
88,24,24/11/2018,3,1,H,2,0,H,18,13,9,2,19,12,4,4,0,3,0,0
91,50,24/11/2018,0,3,A,0,0,D,5,10,1,7,12,13,5,5,0,0,0,1
93,53,24/11/2018,0,4,A,0,3,A,9,9,1,6,6,3,8,1,0,0,0,0
11,3,25/11/2018,1,2,A,1,1,D,11,20,5,4,6,9,5,8,2,1,0,0
95,43,25/11/2018,0,2,A,0,1,A,12,14,3,6,9,8,3,5,1,2,0,0
17,60,26/11/2018,1,2,A,1,2,A,14,17,4,3,6,11,5,5,0,1,0,0
21,95,30/11/2018,2,1,H,0,1,A,17,15,3,4,3,12,7,6,1,2,0,0
31,17,01/12/2018,2,0,H,1,0,H,29,4,9,0,9,10,10,2,1,1,0,0
43,14,01/12/2018,1,2,A,1,1,D,7,14,2,6,10,12,2,6,0,2,1,0
47,91,01/12/2018,2,0,H,2,0,H,7,8,3,0,7,6,4,8,2,1,0,1
53,11,01/12/2018,3,1,H,1,1,D,16,4,6,1,9,3,8,4,0,0,0,0
60,93,01/12/2018,0,3,A,0,1,A,16,7,4,4,10,10,7,3,3,3,0,0
81,54,01/12/2018,2,2,D,2,2,D,16,11,6,5,12,13,3,5,4,4,0,0
3,88,02/12/2018,4,2,H,1,2,A,22,11,7,6,15,17,8,5,3,3,0,1
24,39,02/12/2018,2,0,H,1,0,H,16,9,9,4,8,17,4,6,2,1,0,0
50,35,02/12/2018,1,0,H,0,0,D,16,9,3,3,12,7,8,1,3,2,0,0
11,43,04/12/2018,2,1,H,2,1,H,6,23,2,6,14,11,4,8,4,2,0,0
14,31,04/12/2018,3,1,H,3,0,H,9,18,3,5,14,12,4,5,2,3,1,0
91,53,04/12/2018,1,2,A,0,1,A,11,15,7,7,4,8,3,11,0,1,0,0
93,21,04/12/2018,3,1,H,0,0,D,17,9,11,5,10,10,10,4,1,2,0,0
17,50,05/12/2018,1,3,A,0,0,D,10,18,6,12,10,3,5,9,1,0,0,0
35,60,05/12/2018,1,1,D,1,1,D,19,8,3,5,7,18,14,2,0,5,0,0
39,47,05/12/2018,1,1,D,1,0,H,25,13,7,5,12,7,10,8,0,0,0,0
54,3,05/12/2018,2,2,D,1,1,D,10,9,7,4,13,10,4,4,3,3,0,0
88,81,05/12/2018,3,1,H,1,0,H,13,18,8,5,7,5,8,6,0,0,0,0
95,24,05/12/2018,2,1,H,0,1,A,6,17,2,3,18,10,1,5,4,4,0,0
3,43,08/12/2018,1,0,H,0,0,D,14,6,2,0,13,20,7,1,5,4,0,0
11,50,08/12/2018,0,4,A,0,1,A,8,10,2,4,9,11,6,6,2,1,0,0
17,14,08/12/2018,1,0,H,1,0,H,14,14,4,1,11,11,2,7,2,0,0,0
21,81,08/12/2018,1,0,H,0,0,D,13,12,4,1,9,10,7,7,2,2,0,0
24,53,08/12/2018,2,0,H,1,0,H,8,14,5,4,12,11,1,13,2,0,0,0
47,88,08/12/2018,0,2,A,0,1,A,11,7,3,2,12,7,6,5,3,1,0,0
54,39,08/12/2018,4,1,H,3,0,H,20,10,11,4,11,15,10,3,1,1,0,1
93,31,08/12/2018,3,2,H,0,1,A,13,8,6,4,10,8,5,3,1,2,0,0
60,95,09/12/2018,1,2,A,1,1,D,12,13,4,6,10,17,4,6,2,5,1,0
35,91,10/12/2018,2,2,D,1,0,H,12,15,5,3,13,13,6,6,1,1,0,0
31,47,15/12/2018,1,0,H,1,0,H,8,12,1,2,10,8,4,4,2,1,0,0
39,93,15/12/2018,0,2,A,0,2,A,16,6,4,3,14,10,6,4,2,1,0,0
43,60,15/12/2018,0,1,A,0,0,D,15,8,5,5,5,13,10,1,1,1,0,0
53,35,15/12/2018,3,1,H,1,0,H,13,9,5,2,7,9,6,2,1,2,0,0
88,17,15/12/2018,1,0,H,0,0,D,15,4,3,0,7,8,8,3,0,2,0,0
91,21,15/12/2018,3,2,H,1,0,H,17,10,8,3,7,5,5,0,0,0,0,0
95,11,15/12/2018,2,0,H,1,0,H,9,13,3,3,15,7,5,3,1,2,0,0
14,24,16/12/2018,1,2,A,0,2,A,6,10,2,3,14,6,4,1,2,2,0,0
50,54,16/12/2018,3,1,H,1,1,D,36,6,11,2,6,14,13,2,0,2,0,0
81,3,16/12/2018,3,2,H,2,1,H,12,13,7,4,12,10,4,5,3,1,0,0
95,50,21/12/2018,0,2,A,0,1,A,11,15,5,6,7,3,1,10,0,0,0,0
3,17,22/12/2018,3,1,H,1,0,H,10,7,6,2,10,14,1,3,2,5,0,0
11,14,22/12/2018,2,0,H,1,0,H,14,10,3,5,8,18,6,5,2,0,0,1
21,54,22/12/2018,1,5,A,1,3,A,9,17,3,9,13,13,4,7,2,1,0,0
24,47,22/12/2018,0,1,A,0,0,D,17,8,5,3,10,9,9,5,0,2,0,0
43,81,22/12/2018,1,3,A,0,2,A,16,13,5,6,12,9,8,2,2,3,0,0
53,31,22/12/2018,2,3,A,1,2,A,19,5,5,3,7,6,13,0,0,4,0,0
60,39,22/12/2018,0,0,D,0,0,D,9,4,0,2,9,12,6,0,1,2,0,0
93,91,22/12/2018,0,2,A,0,1,A,18,11,7,5,9,11,10,4,3,2,0,0
35,88,23/12/2018,2,6,A,1,3,A,10,17,3,8,13,9,2,1,0,2,0,0
14,3,26/12/2018,1,1,D,1,1,D,12,7,3,4,10,4,4,9,2,1,0,0
17,35,26/12/2018,1,5,A,1,3,A,11,13,4,6,11,19,5,7,2,4,0,0
31,21,26/12/2018,0,0,D,0,0,D,31,9,5,4,9,11,12,1,0,3,0,0
39,95,26/12/2018,1,1,D,0,0,D,11,14,9,5,9,6,2,0,2,1,0,0
47,53,26/12/2018,2,1,H,1,1,D,10,11,5,4,5,8,3,7,2,2,0,1
50,60,26/12/2018,4,0,H,1,0,H,16,6,8,2,7,9,10,2,0,0,0,0
54,43,26/12/2018,3,1,H,1,0,H,16,10,10,2,9,13,5,3,1,1,0,0
88,11,26/12/2018,5,0,H,3,0,H,10,14,7,4,4,8,3,4,2,1,0,0
91,24,26/12/2018,1,2,A,1,1,D,10,10,2,4,15,5,3,4,1,0,0,0
81,93,27/12/2018,1,2,A,0,0,D,11,16,5,5,10,3,4,5,2,0,0,0
14,35,29/12/2018,1,0,H,0,0,D,11,13,3,4,10,11,6,6,0,2,0,0
39,43,29/12/2018,1,0,H,0,0,D,14,9,5,5,12,10,4,3,3,1,0,0
47,21,29/12/2018,0,1,A,0,0,D,16,12,7,3,14,16,10,4,0,2,0,0
50,3,29/12/2018,5,1,H,4,1,H,15,8,10,2,8,13,5,3,1,2,0,0
88,95,29/12/2018,1,3,A,1,0,H,10,11,3,4,7,7,6,7,3,2,0,0
91,60,29/12/2018,1,1,D,0,1,A,12,8,5,2,17,16,3,6,1,2,0,0
17,93,30/12/2018,2,0,H,2,0,H,17,11,5,4,15,11,5,5,1,4,0,0
31,24,30/12/2018,0,1,A,0,0,D,4,12,0,4,11,8,3,4,0,1,0,0
54,11,30/12/2018,4,1,H,3,1,H,11,7,8,3,10,7,4,5,2,0,1,0
81,53,30/12/2018,1,3,A,1,3,A,5,14,4,6,11,10,3,8,2,3,1,0
3,39,01/01/2019,4,1,H,1,0,H,16,9,9,4,7,12,8,3,0,1,0,0
21,88,01/01/2019,0,3,A,0,3,A,6,13,3,4,6,6,5,3,1,0,0,0
35,47,01/01/2019,0,1,A,0,0,D,17,8,2,4,5,8,6,5,3,1,0,0
11,91,02/01/2019,3,3,D,3,3,D,25,11,12,3,9,15,4,2,1,4,0,0
24,81,02/01/2019,0,0,D,0,0,D,17,6,6,2,8,11,7,2,1,2,0,0
43,17,02/01/2019,1,2,A,1,1,D,9,16,2,8,11,9,5,2,0,4,1,1
60,54,02/01/2019,0,2,A,0,0,D,14,16,3,7,10,9,1,2,1,2,0,0
93,14,02/01/2019,2,2,D,0,0,D,13,13,6,6,9,11,1,5,0,1,0,0
95,31,02/01/2019,0,2,A,0,0,D,9,17,1,4,9,7,3,10,4,1,0,0
53,50,03/01/2019,2,1,H,1,0,H,9,7,4,5,12,7,2,1,4,2,0,0
14,50,12/01/2019,0,1,A,0,0,D,7,10,0,3,15,5,2,7,0,0,0,0
17,39,12/01/2019,2,1,H,2,1,H,11,12,0,4,5,9,2,6,1,2,0,0
21,43,12/01/2019,0,0,D,0,0,D,3,14,0,2,12,14,3,10,3,1,0,0
24,60,12/01/2019,2,1,H,1,1,D,10,9,6,2,6,13,8,5,1,1,0,0
31,91,12/01/2019,1,2,A,1,0,H,15,16,6,2,11,11,7,7,1,4,0,0
47,81,12/01/2019,1,2,A,0,2,A,23,8,6,3,7,9,10,3,2,1,0,1
93,3,12/01/2019,1,0,H,0,0,D,11,11,3,2,7,10,7,3,0,2,0,0
35,11,13/01/2019,2,0,H,0,0,D,15,16,3,7,17,8,5,9,5,0,0,0
88,54,13/01/2019,0,1,A,0,1,A,21,13,11,8,8,8,7,4,1,2,0,0
53,95,14/01/2019,3,0,H,2,0,H,24,3,9,0,6,3,12,1,1,0,0,1
3,24,19/01/2019,2,0,H,2,0,H,13,13,5,1,13,15,5,6,0,2,0,0
11,93,19/01/2019,2,0,H,0,0,D,10,9,4,1,6,10,2,3,0,1,0,0
50,31,19/01/2019,4,3,H,0,1,A,19,9,9,3,6,8,8,3,0,1,1,0
54,14,19/01/2019,2,1,H,2,0,H,20,7,5,3,11,11,6,5,1,0,0,0
60,21,19/01/2019,3,0,H,1,0,H,16,9,6,1,11,6,7,10,0,1,0,0
81,35,19/01/2019,2,1,H,0,0,D,11,7,4,2,12,11,7,6,2,1,0,0
91,17,19/01/2019,0,0,D,0,0,D,9,11,4,3,14,9,1,7,1,2,0,0
95,47,19/01/2019,4,3,H,2,0,H,12,16,7,6,11,10,5,9,3,3,0,0
39,88,20/01/2019,1,2,A,1,0,H,12,14,4,5,10,8,7,10,2,3,0,0
43,53,20/01/2019,0,3,A,0,1,A,5,12,2,4,10,9,1,4,2,2,0,0
3,21,29/01/2019,2,1,H,0,0,D,15,19,4,2,14,12,4,7,3,3,0,0
39,14,29/01/2019,4,2,H,0,2,A,24,15,7,6,10,5,10,1,2,3,0,0
43,35,29/01/2019,0,1,A,0,1,A,10,10,2,5,13,10,3,4,1,4,0,1
54,17,29/01/2019,2,2,D,0,0,D,28,6,9,4,10,9,11,3,1,3,0,0
60,53,29/01/2019,2,1,H,0,1,A,6,12,2,4,9,7,1,8,2,3,0,0
95,93,29/01/2019,3,0,H,0,0,D,20,4,9,0,8,10,5,1,4,1,0,0
11,24,30/01/2019,4,0,H,0,0,D,12,11,7,7,8,6,3,7,1,0,0,0
50,47,30/01/2019,1,1,D,1,1,D,10,5,3,2,13,6,7,1,1,3,0,0
81,31,30/01/2019,1,1,D,0,1,A,13,15,4,3,11,8,3,8,2,2,0,1
88,91,30/01/2019,2,1,H,0,1,A,17,9,3,1,6,9,9,5,0,4,0,0
14,91,02/02/2019,0,0,D,0,0,D,21,5,4,0,15,10,7,0,1,0,0,0
17,81,02/02/2019,1,1,D,0,0,D,15,10,6,4,10,9,4,2,3,1,0,0
21,11,02/02/2019,2,0,H,1,0,H,12,9,5,2,17,14,6,7,1,2,0,0
24,43,02/02/2019,5,0,H,2,0,H,23,5,7,2,8,5,11,2,0,0,0,0
31,39,02/02/2019,2,0,H,1,0,H,17,8,6,0,9,12,11,1,2,3,0,0
35,95,02/02/2019,1,3,A,1,2,A,13,8,4,4,12,14,3,1,3,1,0,0
88,60,02/02/2019,1,0,H,0,0,D,21,8,4,2,6,6,6,3,0,1,0,0
47,54,03/02/2019,0,1,A,0,1,A,17,10,6,6,14,9,7,2,4,4,0,0
53,3,03/02/2019,3,1,H,2,1,H,19,4,12,2,11,8,4,2,1,1,0,0
93,50,04/02/2019,1,1,D,1,1,D,13,11,2,6,9,11,2,5,1,1,0,0
35,53,06/02/2019,0,2,A,0,1,A,4,15,1,4,12,6,5,6,1,1,0,0
14,17,09/02/2019,1,3,A,0,1,A,16,9,6,5,8,7,9,3,1,1,0,0
31,93,09/02/2019,1,1,D,0,1,A,25,6,5,4,12,9,10,4,3,0,0,0
39,54,09/02/2019,0,3,A,0,2,A,15,15,3,7,14,9,5,4,3,2,0,0
43,3,09/02/2019,1,2,A,0,2,A,15,9,6,4,17,12,5,0,3,2,0,0
50,11,09/02/2019,3,0,H,2,0,H,20,12,9,2,14,6,8,5,2,2,0,0
81,21,09/02/2019,1,2,A,0,0,D,14,6,7,3,15,12,8,2,3,3,0,0
91,35,09/02/2019,1,0,H,0,0,D,7,9,2,4,21,10,8,2,2,0,0,1
53,24,10/02/2019,6,0,H,4,0,H,15,12,9,4,9,13,2,2,1,2,0,0
88,47,10/02/2019,3,1,H,1,0,H,12,20,5,9,11,4,2,9,3,1,0,0
95,60,11/02/2019,1,1,D,0,0,D,22,9,6,3,7,9,13,1,1,3,0,0
21,91,22/02/2019,1,5,A,0,1,A,15,12,6,7,10,11,3,3,1,2,0,0
93,39,22/02/2019,3,1,H,2,1,H,21,8,7,5,11,11,12,0,1,1,0,0
11,95,23/02/2019,1,1,D,1,0,H,10,10,3,2,10,15,9,8,4,5,0,0
17,88,23/02/2019,2,1,H,0,0,D,10,17,4,6,9,12,7,6,1,3,0,0
47,31,23/02/2019,1,4,A,0,1,A,27,7,5,5,7,14,8,3,2,1,0,0
60,43,23/02/2019,2,0,H,0,0,D,29,3,12,1,11,7,12,0,2,0,0,1
3,81,24/02/2019,2,0,H,2,0,H,12,10,4,4,7,14,6,4,0,0,0,0
54,50,24/02/2019,0,0,D,0,0,D,6,7,3,1,15,17,3,7,1,3,0,0
21,35,26/02/2019,0,3,A,0,1,A,6,12,0,4,12,12,3,4,3,1,0,0
43,95,26/02/2019,1,0,H,0,0,D,15,7,3,0,10,10,3,5,2,2,0,0
47,14,26/02/2019,2,1,H,1,0,H,19,15,3,3,6,4,4,8,1,1,0,0
60,17,26/02/2019,2,0,H,2,0,H,12,12,3,2,8,8,4,7,1,3,0,0
3,11,27/02/2019,5,1,H,2,1,H,16,13,6,5,11,9,9,4,2,2,0,0
24,88,27/02/2019,2,0,H,0,0,D,11,9,1,0,7,14,2,2,1,1,0,0
31,54,27/02/2019,1,3,A,0,1,A,17,13,2,4,8,9,5,6,2,3,0,0
50,91,27/02/2019,5,0,H,2,0,H,19,5,10,3,5,7,6,4,0,2,0,0
53,93,27/02/2019,1,0,H,0,0,D,20,2,7,1,2,6,12,2,0,2,0,0
81,39,27/02/2019,2,0,H,2,0,H,14,14,4,4,15,13,7,4,0,1,0,0
11,53,02/03/2019,0,1,A,0,0,D,0,23,0,7,7,7,0,14,1,2,0,0
14,43,02/03/2019,1,0,H,0,0,D,13,6,4,4,11,6,6,3,2,2,0,0
17,31,02/03/2019,1,3,A,0,1,A,18,10,4,4,9,9,8,5,1,2,0,0
54,81,02/03/2019,3,2,H,0,1,A,16,6,6,3,7,10,9,7,2,1,0,0
88,3,02/03/2019,1,1,D,0,1,A,10,9,3,4,15,14,3,4,3,2,0,1
93,60,02/03/2019,2,0,H,2,0,H,10,17,4,2,8,14,1,6,3,4,0,0
95,21,02/03/2019,2,0,H,2,0,H,13,12,6,4,11,6,7,8,1,2,0,0
35,50,03/03/2019,0,0,D,0,0,D,7,10,3,3,12,10,3,7,1,2,0,0
39,24,03/03/2019,1,2,A,1,2,A,12,20,5,7,11,10,5,4,2,1,0,0
91,47,03/03/2019,2,1,H,1,0,H,6,14,5,2,15,12,1,5,5,1,0,0
21,93,09/03/2019,2,0,H,1,0,H,16,9,7,2,7,12,7,5,2,1,0,0
31,14,09/03/2019,1,2,A,0,1,A,15,4,3,3,8,18,8,0,1,5,0,0
43,11,09/03/2019,0,2,A,0,1,A,8,8,1,5,14,9,6,5,3,1,0,0
47,39,09/03/2019,3,1,H,1,0,H,18,6,8,3,9,13,6,5,0,2,0,0
53,91,09/03/2019,3,1,H,0,0,D,19,2,9,1,11,7,9,1,1,1,0,0
60,35,09/03/2019,3,2,H,0,2,A,19,7,7,3,13,10,8,2,3,1,0,0
81,88,09/03/2019,2,1,H,0,1,A,12,16,4,5,16,9,1,10,4,2,0,0
